UAV1X	UAV1Y	UAV1Z	UAV1situation	UAV1_t	UAV2X	UAV2Y	UAV2Z	UAV2situation	UAV2_t	UAV3X	UAV3Y	UAV3Z	UAV3situation	UAV3_t	
1.54262e-06	23.9008	4.97065	4	7.33415	54.8376	24.4065	14.5119	5	7.3342	50.0024	9.89665	2.57695	6	7.33421	
1.04729e-06	24.6507	4.97378	4	7.35138	54.9417	24.5303	14.5877	5	7.35141	50.001	9.95472	2.35264	6	7.35142	
6.58213e-07	25.5506	4.97711	4	7.38609	55.0976	24.7146	14.7016	5	7.38612	50.0003	9.98498	2.12784	6	7.38612	
4.42232e-07	26.3006	4.97961	4	7.42089	55.2554	24.8993	14.8152	5	7.42091	50.0001	9.99717	1.90287	6	7.42091	
3.00235e-07	27.0505	4.98179	4	7.45606	55.3608	25.0219	14.8911	5	7.45609	50	9.99999	1.63287	6	7.45611	
1.88699e-07	27.9505	4.9841	4	7.48916	55.5203	25.2061	15.0045	5	7.48919	50	9.52877	1.74428	4	7.4892	
1.26781e-07	28.7005	4.98584	4	7.51852	55.6804	25.3896	15.1181	5	7.51857	50	8.96162	1.89147	4	7.51858	
8.60736e-08	29.4505	4.98735	4	7.55248	55.7882	25.5122	15.1936	5	7.55253	50	8.31972	2.08064	4	7.55254	
5.40977e-08	30.3504	4.98896	4	7.58294	55.9499	25.6953	15.3069	5	7.583	50	7.82384	2.24938	4	7.58301	
3.6347e-08	31.1004	4.99017	4	7.61323	56.1135	25.8789	15.42	5	7.61328	50	7.37029	2.42851	4	7.61329	
2.46765e-08	31.8504	4.99122	4	7.64355	56.2221	26.0003	15.4956	5	7.6436	50	6.89089	2.65689	4	7.64361	
1.55094e-08	32.7504	4.99233	4	7.67554	56.3872	26.1836	15.6085	5	7.67558	50	6.55173	2.8575	4	7.67559	
1.04204e-08	33.5004	4.99317	4	7.70439	56.5527	26.3661	15.7215	5	7.70444	50	6.27077	3.06604	4	7.70445	
7.07462e-09	34.2504	4.9939	4	7.73433	56.6635	26.4877	15.7967	5	7.73438	50	6.01014	3.32437	4	7.7344	
4.8508e-09	35.0004	4.99454	4	7.76526	56.8303	26.67	15.9095	5	7.7653	50	6.05062	3.53346	4	7.76531	
2.98751e-09	35.9004	4.99526	4	7.80079	56.9989	26.853	16.022	5	7.80083	50	6.5152	3.70842	4	7.80084	
2.02828e-09	36.6504	4.99576	4	7.82942	57.1117	26.9749	16.097	5	7.82948	50	7.20186	3.88121	4	7.8295	
1.39072e-09	37.4004	4.99621	4	7.8635	57.2816	27.1575	16.2093	5	7.86355	50	7.81082	4.01149	4	7.86356	
8.56515e-10	38.3004	4.99671	4	7.8993	57.4514	27.3394	16.3218	5	7.89935	50	8.46239	4.12212	4	7.89937	
5.81504e-10	39.0504	4.99706	4	7.93306	57.5662	27.4616	16.3965	5	7.93309	50	9.27132	4.23967	4	7.93309	
0.480568	39.5225	4.99753	4	7.95002	57.7371	27.6431	16.5088	5	7.95005	50	9.96552	4.32423	4	7.95006	
1.35996	39.7124	4.99787	4	7.98085	57.9097	27.8256	16.6208	5	7.9809	50	10.6746	4.39705	4	7.98091	
2.10314	39.8117	4.99811	4	8.00811	58.0246	27.9465	16.6957	5	8.00816	50	11.5352	4.47553	4	8.00817	
2.85012	39.8783	4.99834	4	8.03961	58.1982	28.1288	16.8075	5	8.03965	50	12.2604	4.53261	4	8.03966	
3.68998	39.744	4.99857	4	8.07246	58.3717	28.3102	16.9196	5	8.07252	50	12.9888	4.58597	4	8.07253	
4.12237	39.1383	4.99873	4	8.10456	58.4884	28.4317	16.9941	5	8.10461	50	13.871	4.63909	4	8.10462	
4.42001	38.4531	4.99887	4	8.13306	58.6627	28.6129	17.106	5	8.13309	50	14.6096	4.67793	4	8.13315	
4.64908	37.5842	4.99903	4	8.16378	58.8389	28.7953	17.2175	5	8.16383	50	15.3497	4.71438	4	8.16384	
4.76606	36.8438	4.99914	4	8.19414	58.9552	28.9154	17.2923	5	8.19419	50	16.2413	4.75078	4	8.1942	
4.84259	36.0978	4.99923	4	8.22437	59.1322	29.0977	17.4037	5	8.22442	50	16.986	4.77746	4	8.22443	
4.9022	35.1999	4.99933	4	8.25508	59.3089	29.2791	17.5153	5	8.25516	50	17.7313	4.80254	4	8.25518	
4.93497	34.4506	4.9994	4	8.28975	59.4268	29.4	17.5896	5	8.2898	50	18.4778	4.82423	4	8.28981	
4.95629	33.7009	4.99947	4	8.32468	59.6065	29.5836	17.7005	5	8.32472	50	19.3748	4.84603	4	8.32473	
4.97286	32.8011	4.99954	4	8.35373	59.7858	29.7659	17.8116	5	8.35377	50	20.1225	4.86335	4	8.35377	
4.98196	32.0512	4.99959	4	8.38089	59.9056	29.8871	17.8856	5	8.38093	50	20.8709	4.87834	4	8.38095	
4.98787	31.3012	4.99964	4	8.41347	60.0862	30.0684	17.9967	5	8.41352	50	21.7695	4.89341	4	8.41353	
4.99247	30.4012	4.99968	4	8.44803	60.2071	30.1887	18.0707	5	8.44808	50	22.5184	4.90539	4	8.44809	
4.99499	29.6512	4.99972	4	8.478	60.3895	30.3684	18.1817	5	8.47805	50	23.2676	4.91576	4	8.47807	
